PI,Status,Subject,category,parentTask,Priority,start,end,secondaryCat,reason,agency,dataEditNotes
Richard Carson,Emailed,ES01 - Dataset,anthropogenic,1195,Normal,1989,1991,,,UCSD,
Richard Carson,Emailed,ES07 - Dataset,anthropogenic,1198,Normal,1989,1991,,,UCSD,
Richard Lanctot,Replied,#555 - Dataset,marineBirds,1201,High,2001,2001,,,USFWS,
Rita Miraglia,Replied,#017 - Dataset,anthropogenic,1204,Normal,1993,1993,,,ADFG,
Richard McMahon,Unrecoverable,TS03 Dataset - no info,habitat,1210,Normal,1989,1993,,no contact info,ADNR,
Lee Hulbert,Replied,#096 - Dataset,fish,1214,Normal,2000,2002,,,ADFG,
Fred Allendorf,Emailed,190 - Dataset,fish,1216,Normal,1996,2003,,,U. Montana,
Ephim Ahok,Emailed,225 - Dataset,fish,1219,Normal,1996,1999,,,Chugachmiut,
Geoffrey Coble,Emailed,139-A2 - Dataset,terrestrial,1222,Normal,1997,2000,,,coble geophysics,
Jeffrey Short,Replied,195 - Dataset,oil,1225,Normal,1996,2002,,,NOAA,
Dianne Lyles,Unrecoverable,062 Dataset - no info,habitat,1227,Normal,1992,1993,,no contact info,ADNR,
Daniel Huttunen,Unrecoverable,FS20 Dataset - no info,oil,1231,Normal,1989,1989,,no contact info,State of Alaska,
AJ Paul,Unrecoverable,320-U - Dataset,modeling,1233,Normal,1995,1998,,data lost,NOAA,
Ken Hodges,Unrecoverable,project data - origils lost,habitat,1326,Normal,1997,1998,,data lost,USFS,
Art Weiner,Unrecoverable,project data,monitoring,1336,Normal,1993,1995,,no contact info,ADNR,
Dale Kiefer,Emailed,810 - Model input data,modeling,1368,Normal,2007,2007,,,USC,
Mark Willette,Replied,/320-A data,fish,1383,Normal,1994,1995,,,ADFG,
Lisa Seeb,Replied,Project data,fish,1396,Normal,1992,1997,,,UW,
Alan Mearns,Revised,Esamy Bay Site,habitat,1414,Normal,1989,2014,,,NOAA,
Alan Mearns,Revised,Crab Bay Rocky,habitat,1414,Normal,1990,2014,,,NOAA,
Alan Mearns,Revised,Landslide #1 time series,habitat,1414,Normal,1990,2014,,,NOAA,
Mearns,Revised,Split Rock NW Bay,habitat,1414,Normal,1990,2014,,,NOAA,
Mearns,Revised,Ernie Boulder,habitat,1414,Normal,1990,2014,,,NOAA,
