PI,Status,Subject,category,parentTask,Priority,start,end,secondaryCat,reason,agency,ecosystem,category,
Jim Bodkin,Replied,Harlequin ducks,fish,605,Normal,1999,2003,,,USGS,,,
Jim Bodkin,Replied,Project Data - check with Brenda Ballachey,habitat,608,High,2003,2010,,,USGS,,,
Jim Edmundson,Replied,lake fish data?,terrestrial,1058,Normal,1997,1998,,,ADFG,,,
Jim Fall,Unrecoverable,Aggregated Survey Data from Fil Report,anthropogenic,1002,Normal,1998,2004,,non digital,ADFG,,,
Jim Fall,Replied,Project Data,mammals,572,Normal,1994,2000,,,ADFG,,,
Jim Gibeaut,Emailed,project data,oil,929,Normal,1995,1996,,,Texas A&M,,,
Jim Gibeaut,Emailed,project data,oil,928,Normal,1993,1993,,,Texas A&M,,,
JJ Vollenweider,Emailed,Project Data,fish,545,Normal,2007,2010,,,NOAA,,,
Joan Braddock,Unrecoverable,microbial data,oil,1467,Normal,1991,1992,,non digital,UAF,,,
Joan Braddock,Unrecoverable,project data - origils lost,oil,918,Normal,1995,1997,,non digital,UAF,,,
Joanne Jellett,Unrecoverable,project data -origils lost,inverts,785,Normal,2000,2003,,data lost,Jellett Biotek Limited,,,
John Piatt,Emailed,Project Data,marineBirds,682,Normal,1998,2001,,,USGS,,,
John Piatt,Emailed,Project Data,marineBirds,680,Normal,2002,2002,,,USGS,,,
John Piatt,Emailed,Project Data,marineBirds,678,Normal,2000,2000,,,USGS,,,
John Piatt,Emailed,Project Data,marineBirds,676,Normal,1999,2002,,,USGS,,,
John Piatt,Emailed,Project Data,fish,674,Normal,1996,1996,marine birds,,USGS,,,
John Piatt,Emailed,Project Data,fish,672,Normal,1995,1996,,,USGS,,,
John Thedinga,Replied,modeling data - jacek maselko,modeling,742,Normal,2001,2002,,,NOAA,,,
John Whitney,Replied,project data,habitat,811,Normal,1999,1999,,,NOAA,,,
John Whitney,Replied,project data,habitat,890,Normal,2002,2002,,,NOAA,,,
Jon Isaacs,Replied,Project Data,habitat,1107,Normal,1997,1997,,,URS,,,
Jothan Lewis,SentData,deer data - hydrocarbon DB,terrestrial,1497,Normal,1989,1990,,,ADFG,,,
Julie Raymond-Yakoubian,Unrecoverable,Project Data - no info or report,fish,738,Normal,1989,1989,,no contact info,UAF,,,
K. Roth,Replied,FS06 - Dataset,fish,1024,Normal,1989,1989,,,ADFG,,,
Karen Murphy,Replied,dataset,modeling,776,Normal,1998,2000,,,USFWS,,,
Karen Oakley,SentData,Tissue hydrocarbon samples in Hydrocarbon Database,marineBirds,542,Normal,1989,1990,,,USFWS,,,
Kathrin Sundet,Replied,project data,habitat,932,Normal,1992,1993,,,ADFG,,,
Kathy Kuletz,Replied,Project Data,marineBirds,509,Normal,1997,1997,,,USFWS,,,
Kathy Kuletz,Replied,Project Data,marineBirds,502,Normal,1994,1995,,,USFWS,,,
Kathy Kuletz,Replied,Project Data,marineBirds,504,Normal,1995,1996,,,USFWS,,,
Kathy Kuletz,Replied,Project Data,marineBirds,414,Normal,1989,1992,,,USFWS,,,
Kathy Kuletz,Replied,Project Data,marineBirds,511,Normal,1991,1992,,,USFWS,,,
Keith Miles,Emailed,with USGS otter data?,mammals,855,Normal,2009,2009,,,USGS,,,
Kelly Hepler,Unrecoverable,Project Data,fish,590,Normal,1989,1992,,data lost,ADFG,,,
Ken Hodges,Unrecoverable,project data - origils lost,habitat,1326,Normal,1997,1998,,data lost,USFS,,,
Ken Hodges,Unrecoverable,project data - origils lost,fish,773,Normal,1996,1998,,data lost,USFS,,,
Ken Hodges,Unrecoverable,project data - origils lost,terrestrial,382,Normal,1994,1997,,data lost,USFS,,,
Kendziorek,Published,,oceanography,,,1989,1989,oceanography,,ADEC,,,
Kendziorek,Published,,oil,,,1989,1989,oil maps,,ADEC,,,
Kenneth Currens,Replied,Project Data,fish,560,Normal,1996,1999,,,Idaho St. U.?,,,
Kenneth Goldman,Replied,#639 Dataset,oceanography,964,High,2004,2004,,,ADFG,,,
Kim Sundberg,Unrecoverable,Project Data,anthropogenic,1075,Normal,1994,1995,,no contact info,ADFG,,,
Kline,Published,,fish,,,1994,1998,,,PWSSC,,,
konar,Published,,habitat,,,2003,2004,communties,,UAF,,,
Lee Hulbert,Replied,#096 - Dataset,fish,1214,Normal,2000,2002,,,ADFG,,,
Lees,Published,,inverts,,,2000,2000,infau inverts,,Littoral Ecological & Environmental Services,,,
Lees,Published,,inverts,,,2002,2002,infau inverts,,Littoral Ecological & Environmental Services,,,
Lees,Published,,inverts,,,2010,2010,infau inverts,,Littoral Ecological & Environmental Services,,,
Linc Freese,SentData,crab injury - hydrocarbon DB,inverts,1446,Normal,1989,1992,,,NOAA,,,
Lindeberg,Published,,habitat,,,2007,2007,map,,NOAA,,,
Lindsey Hayes,Replied,Ask David Irons,marineBirds,859,Normal,1994,1994,,,USFWS,,,
Lisa Hutchinson-Scarbrough,Unrecoverable,Project Data - data in reports,fish,596,Normal,1997,2002,,non digital,ADFG,,,
Lisa Rotterman,Replied,project data,mammals,788,Normal,1992,1992,,,NOAA,,,
Lisa Seeb,Replied,Project Data at ADF&G -  follow-up bill templin,fish,786,Normal,1998,1999,,,UW,,,
Lisa Seeb,Replied,Project data,fish,1396,Normal,1992,1997,,,UW,,,
Lisa Seeb,Replied,Project Data at ADF&G - follow-up with Bill Templin,fish,789,Normal,1992,1994,,,UW,,,
Lowell Fritz,Published,NOAA Steller sea lion surveys - Lowell Fritz,mammals,,Normal,1956,2014,,,NOAA,,,
Malin Babcock,Unrecoverable,"project data - retired, no info.",oil,940,Normal,1991,1992,,no contact info,ADFG,,,
Malin Babcock,Unrecoverable,"project data - Retired, no info",fish,939,Normal,1993,1993,,no contact info,ADFG,,,
Mandy Lindeberg,Replied,ShoreZone Video,habitat,707,Low,2007,2007,,,NOAA,,,
Mandy Lindeberg,Replied,Shorezone Photographs,habitat,707,Low,2007,2007,,,NOAA,,,
Marc Romano,Replied,Project Data,marineBirds,740,High,1995,2000,,,USFWS,,,
Marianne See,Unrecoverable,report says workshop papers with EVOSTC,meta,1098,Normal,1999,2000,,data lost,ADFG,,,
Marilyn Dahlheim,Unrecoverable,Olga/NOAA,mammals,729,High,1989,1990,,data lost,NOAA,,,
Marilyn Dahlheim,Published,hydrocarbon DB,mammals,729,Normal,1989,1992,,,NOAA,,,
Mark Carls,Emailed,Project Data,fish,669,Normal,2000,2001,,,NOAA,,,
Mark Carls,Replied,Access DB,oil,216,High,1989,2010,,,NOAA,,,
Mark Carls,Emailed,Project Data,fish,665,Normal,1995,1996,,,NOAA,,,
Mark Carls,Emailed,Project Data,fish,667,Normal,1999,1999,,,NOAA,,,
Mark Udevitz,Replied,dataset,mammals,920,Normal,1993,1993,,,USGS,,,
Mark Willette,Replied,/320-A data,fish,1383,Normal,1994,1995,,,ADFG,,,
Mark Willette,Emailed,320-E: 1 - catches of various fish species in several types of nets,fish,766,Normal,1994,1999,,,ADFG,,,
Mark Willette,Replied,320-E: 3 - stomach contents of fish,fish,766,Normal,1994,1999,,,ADFG,,,
Mark Willette,Replied,320-E: 2 - lengths and weights of fish,fish,766,Normal,1994,1999,,,ADFG,,,
Mark Willette,Emailed,Herring tal habitat data??,fish,769,Normal,1994,1998,,,ADFG,,,
Mark Willette,Replied,320-E: 5 - zooplankton density and species composition estimated from nets,fish,766,Normal,1994,1999,,,ADFG,,,
Mark Willette,Replied,320-E: 6 - ocean temperature and salinity measurements,fish,766,Normal,1994,1999,,,ADFG,,,
Mark Willette,Replied,230-E: 4 - recoveries of tagged juvenile salmon,fish,766,Normal,1994,1999,,,ADFG,,,
Mark Willette,Replied,670-Dataeset,fish,952,Normal,2003,2006,,,ADFG,,,
Mary Anne Bishop,Replied,SEA: Bird Predation on Herring Spawn in Alaska: 1994 - 1999,fish,713,High,1994,1999,,,PWSSC,,,
Mary Anne Bishop,published,Project Data ongoing,marineBirds,711,Normal,2007,2009,,archived with current data,PWSSC,,,
Mary Anne Bishop,Unrecoverable,"Project Data with EVOSTC - refused, unpublished",inverts,709,High,2003,2004,,unwilling to share,PWSSC,,,
