PI,Status,Subject,category,parentTask,Priority,start,end,secondaryCat,reason,agency,ecosystem,dataType,dataEditNotes
Dan Roby,Emailed,Project Data,marineBirds,731,Normal,1995,2000,NA,NA,USFWS,marine,biological-birds,
Dan Roby,Emailed,Project Data,marineBirds,733,Normal,1998,2001,NA,NA,USFWS,marine,biological-birds,
Julie Raymond-Yakoubian,Unrecoverable,Project Data - no info or report,fish,738,Normal,1989,1989,NA,no contact info,UAF,marine,biological-fish,
Marc Romano,Replied,Project Data,marineBirds,740,High,1995,2000,NA,NA,USFWS,marine,biological-birds,
John Thedinga,Replied,modeling data - jacek maselko,modeling,742,Normal,2001,2002,NA,NA,NOAA,marine,ecosystem/habitat,
Dan Gillikin,Replied,Project Data,fish,744,Normal,1994,1999,NA,NA,FWS,marine,biological-fish,
Mike Castellini,Replied,Access DB - Brian Fadely,mammals,748,Normal,1998,2001,NA,NA,UAF,marine,biological-mammals,
Dan Gillikin,Replied,Project Data,fish,753,Normal,1996,2002,NA,NA,FWS,marine,biological-fish,
Dan Gillikin,Replied,Call dan at FS,fish,756,Normal,1996,1996,NA,NA,FWS,marine,biological-fish,
Stephen Okkonen,Emailed,DATA: Okkonen dataset??,oceanography,761,Normal,2002,2006,NA,NA,ADFG,marine,physical,
Howard Ferren,Replied,PWSAC - fry release numbers? check fil report?,fish,762,Normal,1994,1997,NA,NA,PWS Aquaculture Association,marine,biological-fish,
Mark Willette,Emailed,320-E: 1 - catches of various fish species in several types of nets,fish,766,Normal,1994,1999,NA,NA,ADFG,marine,biological-fish,
Mark Willette,Replied,320-E: 3 - stomach contents of fish,fish,766,Normal,1994,1999,NA,NA,ADFG,marine,biological-fish,
Mark Willette,Replied,320-E: 2 - lengths and weights of fish,fish,766,Normal,1994,1999,NA,NA,ADFG,marine,biological-fish,
Mark Willette,Replied,320-E: 5 - zooplankton density and species composition estimated from nets,fish,766,Normal,1994,1999,NA,NA,ADFG,marine,biological-fish,
